FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\manifests\deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\Reloader\deployments\kubernetes\reloader.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\default\manager_auth_proxy_patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\deployments\webhook\manager_webhook_patch.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\VictoriaMetrics_operator\config\manager\manager.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-deployment\argocd-application-controller-deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller-deployment\argocd-application-controller-statefulset.yaml,Medium,C-0030 - Ingress and Egress blocked,1,1,0.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\application-controller\argocd-application-controller-statefulset.yaml,Medium,C-0030 - Ingress and Egress blocked,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\applicationset-controller\argocd-applicationset-controller-deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\dex\argocd-dex-server-deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\notification\argocd-notifications-controller-deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,0,1,100.0
project-yamls\YAMLfiles\repos\argo-cd\manifests\base\redis\argocd-redis-deployment.yaml,Medium,C-0030 - Ingress and Egress blocked,0,1,100.0
